name,college_country,g,gs,mp,fg,fga,fg%,2p,2pa,2p%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,sos,position,height,handedness,per,vorp
Solomon Alabi,Florida State,77,68,22.00,3.50,6.60,0.534,3.50,6.60,0.535,0.00,0.00,0.000,2.10,2.90,0.745,2.10,3.30,5.40,0.40,0.50,2.10,1.70,2.10,9.10,7.34,center,"""7-1""",right,10.30,-0.10
Magnum Rolle,Louisiana Tech,126,72,21.00,3.20,6.50,0.503,3.20,6.40,0.504,0.00,0.00,0.000,1.60,2.60,0.634,2.20,3.40,5.60,0.60,0.60,1.40,1.40,2.20,8.10,3.46,forward,"""6-11""",right,0.00,0.00
Luke Harangody,Notre Dame,129,108,29.20,7.30,15.30,0.476,6.90,14.30,0.486,0.30,1.00,0.326,4.40,5.60,0.782,3.00,6.50,9.50,1.60,0.80,0.70,1.80,2.40,19.20,6.73,forward,"""6-9""",right,10.20,-0.30
Willie Warren,Oklahoma,57,53,31.70,4.90,10.60,0.459,3.20,5.80,0.550,1.70,4.90,0.350,3.80,4.80,0.788,0.60,2.10,2.60,3.50,1.10,0.10,2.80,2.30,15.20,7.33,guard,"""6-4""",right,10.80,0.00
Jeremy Evans,Western Kentucky,134,130,23.50,3.20,5.00,0.639,3.10,4.70,0.654,0.10,0.20,0.364,1.50,2.20,0.684,2.40,3.50,5.90,0.50,0.60,1.70,1.00,2.40,7.90,-1.72,forward,"""6-9""",right,17.30,1.90
Hamady Ndiaye,Rutgers,124,85,22.10,2.20,4.00,0.539,2.20,4.00,0.542,0.00,0.00,0.000,1.50,2.50,0.592,1.80,3.70,5.50,0.40,0.40,2.90,1.40,2.70,5.80,6.36,center,"""7-0""",right,3.90,-0.20
Ryan Reid,Florida State,126,66,20.20,1.90,3.80,0.495,1.90,3.80,0.494,0.00,0.00,0.000,1.20,2.00,0.604,1.70,2.20,3.90,0.70,0.50,0.60,1.60,1.90,5.00,7.66,forward,"""6-8""",right,17.60,0.00
Derrick Caracter,Texas-El Paso,79,36,19.70,4.00,7.10,0.563,3.90,6.90,0.570,0.10,0.20,0.000,2.20,3.60,0.628,2.40,3.20,5.60,0.60,0.70,0.80,2.20,3.10,10.30,5.88,center,"""6-9""",right,10.00,-0.30
Stanley Robinson,Connecticut,126,103,26.20,3.90,8.00,0.485,3.30,6.30,0.520,0.60,1.70,0.351,1.40,2.20,0.646,2.10,4.10,6.20,1.00,0.60,1.00,1.70,1.60,9.80,7.64,forward,"""6-9""",right,0.00,0.00
Dwayne Collins,Miami (FL),126,99,23.60,3.70,6.50,0.565,3.70,6.50,0.565,0.00,0.00,0.000,2.50,4.50,0.563,3.00,4.00,7.00,0.90,0.70,0.70,1.80,2.10,9.90,7.58,forward,"""6-9""",right,0.00,0.00
